district_id,segment,fd_2.0_support,fd_implementation,nxt_dev_items,nxt_migration_items,est_nxt_cost_$5k,cohort
dilworth,expensive-few (migration),0,0,0,57,285000,
washburn,expensive-few (migration),0,0,0,46,230000,
mankato,expensive-few (migration),21,2,1,5,30000,
anchorage,expensive-few (migration),0,0,0,3,15000,
hutto,support-only (cheap tail),128,0,0,0,0,
adams,dev-touch,92,7,2,0,10000,
glastonbury,support-only (cheap tail),101,1,0,0,0,
southwest,support-only (cheap tail),95,6,0,0,0,
greenfield,support-only (cheap tail),65,0,0,0,0,
caring,support-only (cheap tail),65,2,0,0,0,
bridge city,support-only (cheap tail),65,11,0,0,0,
comal,support-only (cheap tail),64,8,0,0,0,
texas city,dev-touch,30,6,3,0,15000,
creston,support-only (cheap tail),54,9,0,0,0,
benton,support-only (cheap tail),48,6,0,0,0,
wadena deer creek,dev-touch,37,10,1,0,5000,
carl junction,dev-touch,37,3,1,0,5000,
dayton,support-only (cheap tail),45,0,0,0,0,
decorah,support-only (cheap tail),43,10,0,0,0,
port neches groves,support-only (cheap tail),41,4,0,0,0,
garrison,support-only (cheap tail),36,1,0,0,0,
waller,support-only (cheap tail),32,0,0,0,0,
arkansas arts,support-only (cheap tail),32,2,0,0,0,
suffolk city,support-only (cheap tail),31,8,0,0,0,
franklin,support-only (cheap tail),31,1,0,0,0,
morgan,support-only (cheap tail),30,8,0,0,0,
healdsburg,support-only (cheap tail),29,1,0,0,0,
west branch,support-only (cheap tail),27,5,0,0,0,
groton,support-only (cheap tail),26,0,0,0,0,
mashpee,support-only (cheap tail),26,0,0,0,0,
east newton vi,support-only (cheap tail),25,0,0,0,0,
mexico,support-only (cheap tail),24,4,0,0,0,
parlier,support-only (cheap tail),24,4,0,0,0,
fortune of education,support-only (cheap tail),24,0,0,0,0,
cardinal,support-only (cheap tail),24,2,0,0,0,
colorado for the deaf and blind,support-only (cheap tail),23,8,0,0,0,
van alstyne,support-only (cheap tail),23,1,0,0,0,
coventry,support-only (cheap tail),21,0,0,0,0,
spring bluff xv,support-only (cheap tail),20,7,0,0,0,
cole,support-only (cheap tail),20,1,0,0,0,
woodville,support-only (cheap tail),19,5,0,0,0,
sheridan,support-only (cheap tail),18,0,0,0,0,
lincoln consolidated,support-only (cheap tail),18,6,0,0,0,
old saybrook,support-only (cheap tail),18,7,0,0,0,
carbon,support-only (cheap tail),17,1,0,0,0,
lake city community,support-only (cheap tail),17,0,0,0,0,
simsbury,support-only (cheap tail),16,1,0,0,0,
needville,support-only (cheap tail),16,2,0,0,0,
future of fort smith,support-only (cheap tail),15,0,0,0,0,
gladewater,support-only (cheap tail),14,0,0,0,0,
harvest preparatory,support-only (cheap tail),14,4,0,0,0,
intermediate,support-only (cheap tail),14,0,0,0,0,
nauset,support-only (cheap tail),14,0,0,0,0,
old colony,support-only (cheap tail),14,0,0,0,0,
timpson,support-only (cheap tail),14,0,0,0,0,
stephenville,support-only (cheap tail),13,7,0,0,0,
east chambers,support-only (cheap tail),13,3,0,0,0,
hill city,dev-touch,3,2,1,0,5000,
shepherd,support-only (cheap tail),12,5,0,0,0,
st mary s,support-only (cheap tail),11,5,0,0,0,
anthony,support-only (cheap tail),11,0,0,0,0,
north berkshire union,support-only (cheap tail),11,4,0,0,0,
responsiveed arkansas,support-only (cheap tail),11,5,0,0,0,
evadale,support-only (cheap tail),10,2,0,0,0,
river road,support-only (cheap tail),10,0,0,0,0,
salem,support-only (cheap tail),10,0,0,0,0,
gloucester,support-only (cheap tail),10,1,0,0,0,
stillwater,dev-touch,0,0,1,0,5000,
tullahoma,dev-touch,0,0,1,0,5000,
montville,support-only (cheap tail),9,6,0,0,0,
martinsville,support-only (cheap tail),9,0,0,0,0,
burton adventist,support-only (cheap tail),9,2,0,0,0,
sarcoxie ii,support-only (cheap tail),9,0,0,0,0,
clinton graceville beardsley,support-only (cheap tail),9,3,0,0,0,
sabine pass,support-only (cheap tail),8,6,0,0,0,
cornerstones of care,support-only (cheap tail),8,7,0,0,0,
maud,support-only (cheap tail),8,5,0,0,0,
medford,support-only (cheap tail),8,2,0,0,0,
des arc,support-only (cheap tail),8,0,0,0,0,
brownwood,support-only (cheap tail),8,4,0,0,0,
winston dillard,support-only (cheap tail),8,4,0,0,0,
tecumseh,support-only (cheap tail),7,0,0,0,0,
st mary s parish,support-only (cheap tail),7,0,0,0,0,
ft leavenworth,support-only (cheap tail),7,0,0,0,0,
palestine,support-only (cheap tail),6,5,0,0,0,
st century charter of gary,support-only (cheap tail),6,5,0,0,0,
rains,support-only (cheap tail),6,3,0,0,0,
bridge creek,support-only (cheap tail),6,0,0,0,0,
sage international middleton campus,support-only (cheap tail),6,0,0,0,0,
camas,support-only (cheap tail),6,0,0,0,0,
easton department,support-only (cheap tail),6,0,0,0,0,
epiphany catholic,support-only (cheap tail),5,5,0,0,0,
belchertown,support-only (cheap tail),5,4,0,0,0,
kernville union,support-only (cheap tail),5,3,0,0,0,
los molinos,support-only (cheap tail),5,0,0,0,0,
buna,support-only (cheap tail),5,2,0,0,0,
gap,support-only (cheap tail),5,0,0,0,0,
institute for the creative arts,support-only (cheap tail),5,1,0,0,0,
balmorhea,support-only (cheap tail),5,5,0,0,0,
el segundo,support-only (cheap tail),4,0,0,0,0,
lake ridge new tech,support-only (cheap tail),4,0,0,0,0,
grants pass,support-only (cheap tail),4,0,0,0,0,
essence preparatory public,support-only (cheap tail),4,0,0,0,0,
hanford joint union high,support-only (cheap tail),4,0,0,0,0,
public for performing arts,support-only (cheap tail),4,0,0,0,0,
great river,support-only (cheap tail),4,0,0,0,0,
elsberry,support-only (cheap tail),4,1,0,0,0,
hadley,support-only (cheap tail),4,2,0,0,0,
maria montessori,support-only (cheap tail),3,3,0,0,0,
blooming grove,support-only (cheap tail),3,3,0,0,0,
chequamegon,support-only (cheap tail),3,0,0,0,0,
the for god,support-only (cheap tail),3,2,0,0,0,
south fork union,support-only (cheap tail),3,2,0,0,0,
greenville,support-only (cheap tail),3,0,0,0,0,
northwest children s home,support-only (cheap tail),3,1,0,0,0,
monona grove,support-only (cheap tail),3,0,0,0,0,
sutton,support-only (cheap tail),3,0,0,0,0,
jesuit high,support-only (cheap tail),3,0,0,0,0,
skyline education,support-only (cheap tail),3,0,0,0,0,
campbell,support-only (cheap tail),2,2,0,0,0,
dallas,support-only (cheap tail),2,0,0,0,0,
forney,support-only (cheap tail),2,1,0,0,0,
texico municipal,support-only (cheap tail),2,2,0,0,0,
cleburne,support-only (cheap tail),2,0,0,0,0,
mississinewa,support-only (cheap tail),2,2,0,0,0,
liberty eylau,support-only (cheap tail),2,1,0,0,0,
austin,support-only (cheap tail),2,1,0,0,0,
south western city,support-only (cheap tail),2,2,0,0,0,
johnson creek,support-only (cheap tail),2,0,0,0,0,
claremore,support-only (cheap tail),2,1,0,0,0,
kountze,support-only (cheap tail),1,1,0,0,0,
beaumont,support-only (cheap tail),1,0,0,0,0,
newton,support-only (cheap tail),1,1,0,0,0,
fabens,support-only (cheap tail),1,0,0,0,0,
boles,support-only (cheap tail),1,0,0,0,0,
maumee valley country day,support-only (cheap tail),1,0,0,0,0,
marion p charter,support-only (cheap tail),1,0,0,0,0,
surprise valley joint,support-only (cheap tail),1,1,0,0,0,
massachusetts department of youth services,support-only (cheap tail),1,1,0,0,0,
paris special,support-only (cheap tail),1,0,0,0,0,
grapevine faith christian,support-only (cheap tail),1,0,0,0,0,
calhoun,support-only (cheap tail),1,0,0,0,0,
southwest preparatory,support-only (cheap tail),1,0,0,0,0,
southwest charter,support-only (cheap tail),1,0,0,0,0,
centinela valley union high,support-only (cheap tail),1,1,0,0,0,
brookeland,support-only (cheap tail),1,1,0,0,0,
haralson,support-only (cheap tail),1,1,0,0,0,
celeste,support-only (cheap tail),1,1,0,0,0,
unparalleled preparatory,support-only (cheap tail),1,1,0,0,0,
wasatch peak,support-only (cheap tail),1,1,0,0,0,
clear lake,support-only (cheap tail),1,1,0,0,0,
richardson,support-only (cheap tail),1,0,0,0,0,
windham,support-only (cheap tail),1,0,0,0,0,
sst discovery,support-only (cheap tail),1,0,0,0,0,
magnolia montessori for al,support-only (cheap tail),1,0,0,0,0,
la academia de estrellas,support-only (cheap tail),1,0,0,0,0,
jarrell,support-only (cheap tail),1,0,0,0,0,
alamo heights,support-only (cheap tail),1,0,0,0,0,
sisters of st mary of oregon ministries corp,support-only (cheap tail),1,0,0,0,0,
central catholic high,support-only (cheap tail),1,0,0,0,0,
los alamos,support-only (cheap tail),1,0,0,0,0,
salem city,support-only (cheap tail),1,0,0,0,0,
myron l powell,support-only (cheap tail),1,0,0,0,0,
st joseph s,support-only (cheap tail),1,0,0,0,0,
jefferson,support-only (cheap tail),1,0,0,0,0,
newman international,support-only (cheap tail),1,0,0,0,0,
chequamnegon,support-only (cheap tail),1,1,0,0,0,
el dorado,support-only (cheap tail),1,1,0,0,0,
seneca,support-only (cheap tail),1,0,0,0,0,
mat su,support-only (cheap tail),1,0,0,0,0,
indiana state of department of education,support-only (cheap tail),1,1,0,0,0,
hacienda la puente,support-only (cheap tail),1,0,0,0,0,
bolivar,support-only (cheap tail),1,1,0,0,0,
joplin,support-only (cheap tail),1,0,0,0,0,
ledyard charter,support-only (cheap tail),1,0,0,0,0,
houston,support-only (cheap tail),1,0,0,0,0,
reeds spring,support-only (cheap tail),1,1,0,0,0,
amherst,support-only (cheap tail),1,1,0,0,0,
east hampton,support-only (cheap tail),1,0,0,0,0,
mount vernon city,support-only (cheap tail),1,0,0,0,0,
boling,support-only (cheap tail),1,0,0,0,0,
columbia,support-only (cheap tail),1,0,0,0,0,
lena public,support-only (cheap tail),1,0,0,0,0,
simply scratch,support-only (cheap tail),1,1,0,0,0,
monroe j,support-only (cheap tail),1,0,0,0,0,
magdalena municipal,support-only (cheap tail),1,1,0,0,0,
phoenix of roseburg,support-only (cheap tail),1,1,0,0,0,
bogalusa city,support-only (cheap tail),1,0,0,0,0,
st mary parish,support-only (cheap tail),1,1,0,0,0,
glide,support-only (cheap tail),1,1,0,0,0,
west jasper cons sch dist ms,support-only (cheap tail),1,0,0,0,0,
cushing,support-only (cheap tail),1,1,0,0,0,
stanfield elementary,support-only (cheap tail),1,0,0,0,0,
albany,support-only (cheap tail),1,1,0,0,0,
eastern allamakee,support-only (cheap tail),1,0,0,0,0,
mexic,support-only (cheap tail),1,1,0,0,0,
